word	tag_length	pattern	pattern_count
ouais!	50	b-i-text	37
ure	50	b-text-b-text-i-b-text-i-text	12
benêt	49	b-text-i-text-i-i-text	52
casse-mottes	49	b-text-i-text-i-i-text	52
coupe-racines	49	b-text-i-text-i-i-text	52
déplantage	49	b-text-i-text-i-b-text-i-text	36
diachylon	49	b-text-i-b-text-i-text	30
mené	49	b-text-b-text-i-i-text	14
sextil	49	b-text-b-text-i-i-text	14
squirreu-x	49	b-text-b-text-i-b-text-b-text-i-text	9
tamaris	49	b-text-b-text-i-b-text-i-text	12
trille	49	text-b-text-i-b-text-i-text	1
uranie	49	b-text	26
cafetan	48	b-text-i-b-text-i-text	30
joseph	48	b-text-i-i-text	39
rotateur	48	b-text-i-text-i-i-text	52
vidamé	48	b-text-i-text-i-b-text-i-text	36
casse-lunettes	47	b-text-i-text-i-i-text	52
coqueret	47	b-text-i-text-i-b-text-i-text	36
?	47	text-i-text	3
garde-barrière	47	b-text-i-text-i-text-i-i-text	34
garde-étalon	47	b-text-i-text-i-text-i-i-text	34
o!	47	b-i-text	37
rencogner	47	i-text-b-text-i-text	20
able	46	b-text-i-text-i-b-text-i-text	36
arase	46	b-text-i-i-text	39
audiencier	46	b-text-i-i-text	39
coupe-légumes	46	b-text-i-text-i-i-text	52
énervation	46	b-text-i-text-i-b-text-i-text	36
fabricien	46	b-text-i-b-text-i-text	30
flétan	46	b-text-b-text-i-b-text-i-text	12
moitié	46	b-text-b-text-b-text-i-text	5
picholine	46	b-text-i-text-i-i-text	52
bestiaux	45	b-text-i-text-b-text	5
désenrouer	45	b-text-i-i-text	39
harpailler	45	text-i-text-b-text-i-text	2
navigateur	45	b-text-i-text-i-i-text	52
casse-noisettes	44	b-text-i-text-i-i-text	52
convoyeur	44	b-text-i-text-i-i-text	52
embu	44	b-text-b-text-i-text-b-text	2
ferrant	44	b-text-i-i-text	39
foarre	44	b-text-b-text-b-text-i-text	5
havir	44	i-text-b-text-i-text	20
hublot	44	text-b-i-b-text-i-text	12
mise	44	b-text-i-i-text	39
p.	44	b-text	26
brise-vent	43	b-text-i-text-i-text-i-i-text	34
chasse-mulet	43	b-text-i-text-i-text-i-i-text	34
créditeur	43	b-text-i-i-text	39
garde-chasse	43	b-text-i-text-i-text-i-i-text	34
hutter	43	i-text-b-text-i-text	20
rabdomancie	43	b-i-text-b-text-i-text	7
sapotier	43	b-i-text-b-text-i-text	7
abêter	42	b-text-i-text-i-b-text-i-text	36
chiffonni-er	42	b-text-i-text-i-b-text-i-text	36
